n_train,mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
10,emotion,mlp,3,landscape,123,0.6518129242450633,0.6747418654582723,0.6612724940639166,
10,emotion,mlp,3,landscape,132,0.3694689781265124,0.27933647916109683,0.38329124099432993,
10,emotion,mlp,3,landscape,140,0.28395399448409425,0.29910666653229473,0.2914019083793525,
10,emotion,mlp,3,landscape,141,0.3510152180798181,0.3246214162611609,0.3546947011145239,
10,emotion,mlp,4,art,1,0.08339436649857511,0.14760427850824412,0.16421091047306044,
10,emotion,mlp,4,art,2,0.5096471853508561,0.5867898654162641,0.56940948039997,
10,emotion,mlp,4,art,12,0.32436014308425937,0.4682993736425393,0.4238445010680896,
10,emotion,mlp,4,art,13,-0.1766632658549329,-0.1280404717158052,-0.19967634038766546,
10,emotion,mlp,4,art,26,0.035126143150225095,0.12436094170175925,0.03657812788978775,
10,emotion,mlp,4,art,29,0.10790622519849559,0.1629212196542291,0.1383615665824954,
10,emotion,mlp,4,art,34,0.37440582617555584,0.3441354297316692,0.3749029918049511,
10,emotion,mlp,4,art,38,0.498794791548163,0.6153166432525529,0.6154011348958192,
10,emotion,mlp,4,art,43,0.23693467719242864,0.2644656173100419,0.26940352106840587,
10,emotion,mlp,4,art,48,0.24729707009284288,0.3235916895810516,0.3407861583890784,
10,emotion,mlp,4,art,49,0.26562165451162073,0.3459596350594361,0.336090235844154,
10,emotion,mlp,4,art,56,0.029331609212787633,0.07455856533812981,0.040994778447744,
10,emotion,mlp,4,art,61,-0.1715179489886162,-0.19981305527754054,-0.2696145918582186,
10,emotion,mlp,4,art,72,0.1004313268674022,0.11821804864173512,0.19617000242392058,
10,emotion,mlp,4,art,77,0.28443265637391774,0.28388703797418763,0.32864337507163793,
10,emotion,mlp,4,art,78,0.4605071021376512,0.3721979153335666,0.5142757117296187,
10,emotion,mlp,4,art,89,0.3952045597095149,0.43227138081393585,0.39920142821823834,
10,emotion,mlp,4,art,90,0.11350443670542613,0.12187776603379398,0.12367143781993743,
10,emotion,mlp,4,art,97,0.2186931277329656,0.18913375726662982,0.22134086616069784,
10,emotion,mlp,4,art,103,0.6330759727832098,0.7009913201166408,0.6742414892066035,
10,emotion,mlp,4,art,108,0.20377563674885732,0.16847017965771707,0.22548868294413538,
10,emotion,mlp,4,art,114,-0.1826016174162469,-0.1388167021487436,-0.2672255238383798,
10,emotion,mlp,4,art,115,0.12769070871407925,0.173830593060576,0.16605528009017212,
10,emotion,mlp,4,art,124,0.319548734157784,0.4394520746505383,0.42509492213356,
10,emotion,mlp,4,art,134,0.41755169605407866,0.45985773601409186,0.443072798551223,
10,emotion,mlp,4,art,135,-0.214106292042021,-0.15841142795478294,-0.2402786239121766,
10,emotion,mlp,4,art,142,0.579850729130884,0.5781413811750937,0.5853965243725937,
10,emotion,mlp,4,art,143,0.726146011063746,0.7933437793682022,0.781661262566053,
10,emotion,mlp,4,fashion,1,0.2525694099552364,0.23609673530193595,0.2760062754416334,
10,emotion,mlp,4,fashion,2,-0.303620025286417,-0.2716532100334876,-0.3112337832290139,
10,emotion,mlp,4,fashion,12,0.26843553313878016,0.2565302857288249,0.2968952324536555,
10,emotion,mlp,4,fashion,13,0.2322703682346666,0.32238261718424505,0.30942726475461585,
10,emotion,mlp,4,fashion,26,0.40180110009026854,0.35848684257305385,0.4302598070678014,
10,emotion,mlp,4,fashion,29,0.06984082363543101,0.20751874890933972,0.10091411009993545,
10,emotion,mlp,4,fashion,34,0.21561391671635968,0.3197891626024068,0.30179873245309063,
10,emotion,mlp,4,fashion,38,0.08465269669504939,0.1270439899576918,0.10146502471105179,
10,emotion,mlp,4,fashion,43,0.41964891233655316,0.5067853619767452,0.4634926311018328,
10,emotion,mlp,4,fashion,48,0.13884636671165324,0.1211790897632772,0.16337109722591234,
10,emotion,mlp,4,fashion,49,0.15232328998870018,0.29107679236337586,0.288955570193502,
10,emotion,mlp,4,fashion,56,-0.060522160571577395,0.00661411708595637,-0.06304112176666225,
10,emotion,mlp,4,fashion,61,0.3645658210912482,0.3117238670327767,0.37188825244716256,
10,emotion,mlp,4,fashion,72,0.02056820507905068,0.05514597872057542,0.031388306465267475,
10,emotion,mlp,4,fashion,77,0.23298603638977636,0.31433047537476283,0.2834338669721062,
10,emotion,mlp,4,fashion,78,0.3776206365220737,0.4258534141097468,0.40398778238614236,
10,emotion,mlp,4,fashion,89,0.07178579460601255,0.13044724914019876,0.11221096400428936,
10,emotion,mlp,4,fashion,90,0.2475894643283029,0.31756318764052427,0.32809488221938565,
10,emotion,mlp,4,fashion,97,0.3226391852533385,0.4422679757380849,0.44327988078410047,
10,emotion,mlp,4,fashion,103,-0.011414377648351183,0.03275861321384141,-0.016694630941498846,
10,emotion,mlp,4,fashion,108,-0.14697835639052118,-0.16943876371057684,-0.17434108427714215,
10,emotion,mlp,4,fashion,114,0.39300271069824966,0.2888198339103993,0.4038685336156875,
10,emotion,mlp,4,fashion,115,0.08675989473793917,0.07792661373000968,0.09811247918887435,
10,emotion,mlp,4,fashion,124,0.3962839336892971,0.447050902303987,0.42647989925258867,
10,emotion,mlp,4,fashion,134,0.23554480934967129,0.3084606812929421,0.31244606646227324,
10,emotion,mlp,4,fashion,135,0.11822762656878287,0.17839719380969324,0.12291547105614369,
10,emotion,mlp,4,fashion,142,0.3256946297633949,0.4135384029917828,0.4089023247385179,
10,emotion,mlp,4,fashion,143,0.18529905903549562,0.2089125170447994,0.2092536154416665,
10,emotion,mlp,4,landscape,1,0.3125291264428309,0.2701614551482195,0.3420834137333766,
10,emotion,mlp,4,landscape,2,0.47858491851912377,0.48928623091191464,0.4837692541259944,
10,emotion,mlp,4,landscape,12,0.6099148397071722,0.606471378763123,0.622098129005347,
10,emotion,mlp,4,landscape,13,0.057108440373434884,0.065930176545662,0.06618907759613027,
10,emotion,mlp,4,landscape,26,0.2847484839249627,0.34800695666992887,0.34626919108701854,
10,emotion,mlp,4,landscape,29,0.05286632076798952,0.04451076211068831,0.05912431692046575,
10,emotion,mlp,4,landscape,34,0.2880424818124195,0.3166229335604464,0.35392386420660826,
10,emotion,mlp,4,landscape,38,0.3967834383333169,0.47341766566482124,0.4610727676892412,
10,emotion,mlp,4,landscape,43,-0.22322088077518942,-0.2071484416690946,-0.23958543178864936,
10,emotion,mlp,4,landscape,48,0.48021141604616147,0.4816928982998969,0.4927049249544964,
10,emotion,mlp,4,landscape,49,0.42170394201737116,0.42994280293288,0.45140830013489275,
10,emotion,mlp,4,landscape,56,-0.15720950231610417,-0.23225372336189753,-0.18280919120305508,
10,emotion,mlp,4,landscape,61,0.19416792231343663,0.31357340037177,0.2811874384385081,
10,emotion,mlp,4,landscape,72,0.1382780106058706,0.06998718631208171,0.145771675979143,
10,emotion,mlp,4,landscape,77,0.2732943243062576,0.35995076518945157,0.31367862099537575,
10,emotion,mlp,4,landscape,78,0.29339651451310705,0.32274007473739946,0.30925181760587334,
10,emotion,mlp,4,landscape,89,0.3322826701395896,0.41741867285439677,0.42421101942721257,
10,emotion,mlp,4,landscape,90,0.2695098859021911,0.3668204195788298,0.32307570559454396,
10,emotion,mlp,4,landscape,97,0.12509355901271618,0.18623553486475267,0.22762875321411516,
10,emotion,mlp,4,landscape,103,0.15755207082575903,0.11357238177352413,0.18194822905770922,
10,emotion,mlp,4,landscape,108,0.34535286979988516,0.36290926991483546,0.3504459652631878,
10,emotion,mlp,4,landscape,114,0.341901614366448,0.35946785235205714,0.3848065234565366,
10,emotion,mlp,4,landscape,115,0.08405218893801958,0.08417622927918982,0.11399414583748048,
10,emotion,mlp,4,landscape,124,0.211887341209867,0.32362112239618385,0.2669096106213367,
10,emotion,mlp,4,landscape,134,0.10093485388744687,0.08634858702839308,0.10847920920196945,
10,emotion,mlp,4,landscape,135,0.3088836597714631,0.4031707123718302,0.44351893003288567,
10,emotion,mlp,4,landscape,142,-0.045900590068919354,-0.11020854854927124,-0.05446325214820267,
10,emotion,mlp,4,landscape,143,0.35062649754572567,0.3519580463220822,0.3643049322571404,
10,emotion,ridge,0,art,3,0.059608012831644575,0.10733664911569112,0.09246701883809,0.5514070630891905
10,emotion,ridge,0,art,14,0.4937932025407121,0.6013663817755424,0.6037852484526869,0.5495730691967563
10,emotion,ridge,0,art,15,0.1950258677769293,0.21289317085952839,0.22488776452435488,0.5430089284387501
10,emotion,ridge,0,art,19,0.4994717089931174,0.5881535616091497,0.589446890614254,0.5511015538804654
10,emotion,ridge,0,art,21,0.32884209150688765,0.475187442957492,0.471007381191257,0.5126406858363455
10,emotion,ridge,0,art,22,0.26743425930276427,0.40547179289956,0.4186804028993311,0.5347621219253929
10,emotion,ridge,0,art,30,-0.1462766102648548,-0.23861039509021942,-0.22102224451852057,0.5568059958483608
10,emotion,ridge,0,art,50,0.45634644563874077,0.48086580086495556,0.5192010430721963,0.5469954735506426
10,emotion,ridge,0,art,57,0.4522769023512212,0.5502758325568238,0.5580982386486663,0.5457711211113805
10,emotion,ridge,0,art,62,0.3520887149246949,0.5250657124653764,0.5376431307817988,0.5192286740768812
10,emotion,ridge,0,art,63,0.12026346871471565,0.14815698604876065,0.1676439456067473,0.5143728683883055
10,emotion,ridge,0,art,79,0.44265987271196333,0.47211567394450665,0.5133938691056399,0.536981197899447
10,emotion,ridge,0,art,80,0.46914307651090925,0.6229366204044843,0.6145123991633532,0.5360283382983256
10,emotion,ridge,0,art,85,0.07349955833119592,0.00919813239792889,0.08707928506004048,0.5428975227391294
10,emotion,ridge,0,art,86,0.5354893982414997,0.6377005821427998,0.6463709016634899,0.5545094785343793
10,emotion,ridge,0,art,98,0.2601541379840563,0.3979184150635804,0.3955821652599747,0.5253520461176183
10,emotion,ridge,0,art,99,0.5271163418333545,0.7223487533234545,0.7378598842052636,0.5326872386475262
10,emotion,ridge,0,art,105,0.14781093180784005,0.24432002552769827,0.23613740012915216,0.5183925125042985
10,emotion,ridge,0,art,109,0.3336780798325089,0.3883778666294117,0.43286680155384544,0.5032168155603687
10,emotion,ridge,0,art,110,0.40719838995109453,0.5176839852479936,0.5183187333541612,0.5174651433596232
10,emotion,ridge,0,art,116,0.572381441353843,0.6033157563634903,0.6170271443419549,0.5598286944861867
10,emotion,ridge,0,art,117,0.511156178720691,0.7366961216195226,0.7413035475938384,0.5284442957192899
10,emotion,ridge,0,art,126,0.4173574016914918,0.455339160349596,0.46721780979321686,0.5414323918450268
10,emotion,ridge,0,art,127,0.4123331342518879,0.5016507891741467,0.5346150895783396,0.5424659913114456
10,emotion,ridge,0,art,136,0.28403721896700723,0.36031870648937653,0.41220791594694073,0.5342586644044369
10,emotion,ridge,0,art,144,0.6466265935406935,0.6664628354581936,0.6716635688335807,0.5656445219537684
10,emotion,ridge,0,fashion,3,0.26887036148526744,0.43418606556538625,0.4744902931748507,0.06768190421010999
10,emotion,ridge,0,fashion,14,0.21666965377720382,0.46067982068778285,0.5390773602923647,0.06846107847860503
10,emotion,ridge,0,fashion,15,0.005197045335889705,-0.0065014520642293246,0.0059716864681704784,0.06779367279573331
10,emotion,ridge,0,fashion,19,0.2837308470228336,0.4180352165813159,0.47286087135756344,0.0680643727878624
10,emotion,ridge,0,fashion,21,0.13691063108662688,0.18723364073965285,0.23190625188496317,0.06736043883908598
10,emotion,ridge,0,fashion,22,0.16398780007087796,0.393805686409602,0.3832925142435053,0.06681051860417446
10,emotion,ridge,0,fashion,30,0.16630530042584588,0.3447631959734789,0.33488772221678414,0.06783885536680177
10,emotion,ridge,0,fashion,50,0.038783593965498644,-0.007392943782414123,0.060784347361013485,0.06783174633643481
10,emotion,ridge,0,fashion,57,0.11146911027576674,0.23883914168111933,0.1798653701346049,0.06758134036888878
10,emotion,ridge,0,fashion,62,0.12909317574273876,0.2854903182942923,0.2786430761243234,0.0681778253363281
10,emotion,ridge,0,fashion,63,0.16929688224122344,0.2401293840937838,0.26256798999924236,0.0676610436501735
10,emotion,ridge,0,fashion,79,0.4141389898130849,0.43637030246599134,0.5264379773963005,0.06715330525554286
10,emotion,ridge,0,fashion,80,0.1165967565476354,0.23900605933595323,0.2527496784374942,0.06792946553495817
10,emotion,ridge,0,fashion,85,0.25358883628999773,0.4288350003059274,0.4212219790146612,0.06728052206874935
10,emotion,ridge,0,fashion,86,0.0565669968337936,0.07820230061456764,0.10908468692158528,0.06665184691816899
10,emotion,ridge,0,fashion,98,0.15955624588187153,0.3064903040627229,0.3293916207633001,0.06704319555031818
10,emotion,ridge,0,fashion,99,0.23651770673007388,0.4289653980535262,0.4583251949094207,0.06711137780909948
10,emotion,ridge,0,fashion,105,0.09973172986236477,0.12347701060970366,0.13694741508932423,0.06735211355885384
10,emotion,ridge,0,fashion,109,0.31364501051554944,0.4756784859750365,0.5434752166281643,0.06712162694444618
10,emotion,ridge,0,fashion,110,0.2337524945013277,0.34327384630461405,0.37565681327178096,0.06690180098916446
10,emotion,ridge,0,fashion,116,0.24128437479642037,0.2366332330922484,0.35909085956749404,0.06752719997128441
10,emotion,ridge,0,fashion,117,0.3478790064996046,0.4759178305071525,0.5362015973850749,0.06696064987703239
10,emotion,ridge,0,fashion,126,0.21683424823692873,0.2678235355695311,0.4081538411077785,0.0680380382465157
10,emotion,ridge,0,fashion,127,0.28882299009473444,0.5354493144842224,0.5050492819766658,0.06681075383033601
10,emotion,ridge,0,fashion,136,0.23327342306626156,0.5054370729446022,0.46136896841142333,0.06803577935389178
10,emotion,ridge,0,fashion,144,0.2645347789897609,0.5442411700106732,0.4883135931202743,0.06713183088647243
10,emotion,ridge,0,landscape,3,0.19902785978082385,0.2671842326673375,0.22909075201303306,2.7908617045149477
10,emotion,ridge,0,landscape,14,0.22329486113895178,0.28095820560226187,0.3238502014965755,2.93261563045523
10,emotion,ridge,0,landscape,15,-0.013232600187998081,0.06081216364921641,-0.013919130982682167,3.21504576831421
10,emotion,ridge,0,landscape,19,0.5045255871061708,0.5277676793203435,0.5886047858640787,2.848833839825731
10,emotion,ridge,0,landscape,21,0.24579014066220353,0.3620285280569118,0.3360443096483577,2.918514873156297
10,emotion,ridge,0,landscape,22,0.3685122884618158,0.3484647810511617,0.37566173811122344,2.682494029199251
10,emotion,ridge,0,landscape,30,0.14001066441232426,0.1252734510396578,0.15368257908493727,3.00035456562757
10,emotion,ridge,0,landscape,50,0.09840725953752187,0.06986882832262305,0.09968161037359417,3.0221747117900164
10,emotion,ridge,0,landscape,57,0.28697383202393145,0.3628090467255836,0.42787332877149353,2.6110367099516187
10,emotion,ridge,0,landscape,62,0.38785060946924516,0.3759117284466686,0.42926392269302927,3.3503093461381837
10,emotion,ridge,0,landscape,63,0.10152225922035824,0.12273038942923836,0.12815338239227217,3.048910327506214
10,emotion,ridge,0,landscape,79,0.3313099527601323,0.4340296149595811,0.386132895649176,3.233081255017275
10,emotion,ridge,0,landscape,80,0.657693708931023,0.6934148963636955,0.6899600465815605,2.4775856791939352
10,emotion,ridge,0,landscape,85,0.2024474067826979,0.25081001260806834,0.2524021031999774,3.0550356323187295
10,emotion,ridge,0,landscape,86,0.3996076006083546,0.5020277858053963,0.5159179403489147,2.9536914154782443
10,emotion,ridge,0,landscape,98,0.25910245870972637,0.2417829965891487,0.2614898378627052,3.5869901644711715
10,emotion,ridge,0,landscape,99,0.5076532412001091,0.5796853788011443,0.5568613468077477,2.8533979751011898
10,emotion,ridge,0,landscape,105,0.08440844798937235,0.11299623406637303,0.1403964377541573,3.169323837320461
10,emotion,ridge,0,landscape,109,0.32666308158302887,0.35611164041720583,0.3709865255219351,3.5119430832430454
10,emotion,ridge,0,landscape,110,0.6210454454157709,0.7214624885918673,0.7034804093860266,2.7704540095628847
10,emotion,ridge,0,landscape,116,0.42657150791716414,0.42977187809525347,0.5018610285350404,2.8657873676167633
10,emotion,ridge,0,landscape,117,0.3981400862486207,0.46509080365561856,0.4313701483089645,2.609100293154719
10,emotion,ridge,0,landscape,126,0.24652982036166451,0.2474668213605252,0.2668270747930598,2.6082150031081803
10,emotion,ridge,0,landscape,127,0.23653695224471719,0.3251739377805205,0.2960598686187431,2.447827250228526
10,emotion,ridge,0,landscape,136,0.35361522847769417,0.4476235949096338,0.4730351223989764,3.0968253431943835
10,emotion,ridge,0,landscape,144,0.46373418728016197,0.5280353491175078,0.5452266110492293,3.1044388830264347
10,emotion,ridge,1,art,5,0.17556675637204347,0.19376658044569559,0.2079613417149945,1.1094770256963395
10,emotion,ridge,1,art,6,0.4538550552026576,0.6642641443808069,0.6339269318459179,1.1626225240754342
10,emotion,ridge,1,art,16,0.3321287439397282,0.4762291362396403,0.49536939219267695,1.1816537519439096
10,emotion,ridge,1,art,17,0.08499539866685725,0.12382798656841047,0.11485343867574332,1.1543441740983809
10,emotion,ridge,1,art,23,0.08243151374598169,0.11285372672113496,0.14149850727812902,1.2576266299789232
10,emotion,ridge,1,art,35,0.12204324464669343,0.2063483498765832,0.143424191356048,1.3266390320248713
10,emotion,ridge,1,art,39,0.5874961635791813,0.7489172701364156,0.7814562874370421,0.9749141921057788
10,emotion,ridge,1,art,44,0.5908887261401966,0.6895111354890316,0.6490906149680687,1.1499589837177318
10,emotion,ridge,1,art,51,0.3633085505931106,0.5044541672718216,0.5332463061555661,1.297658067945967
10,emotion,ridge,1,art,64,0.24820086427194885,0.41544660122344573,0.4766017843879438,1.2345399681588016
10,emotion,ridge,1,art,69,0.29017180218777355,0.4068126465684749,0.41167847615859615,1.1711957876047439
10,emotion,ridge,1,art,81,0.17507609792078135,0.3633381164378993,0.35052304603358814,1.170239306676588
10,emotion,ridge,1,art,92,0.26273213941000295,0.27704506686539065,0.342682786617125,1.0974267559047872
10,emotion,ridge,1,art,100,0.563600351998703,0.6179740604970884,0.6394015596426118,1.175216735923763
10,emotion,ridge,1,art,101,0.5851169042236508,0.629248128396102,0.6067553817964343,1.1125167548395758
10,emotion,ridge,1,art,106,0.3530041126127956,0.4698877220064493,0.47606064672710485,1.20411960230075
10,emotion,ridge,1,art,111,0.5462594465171087,0.5979899686536756,0.6137836333345533,1.215521026739785
10,emotion,ridge,1,art,118,0.4547691062915355,0.586942728000402,0.5446057346589688,1.1374407028409792
10,emotion,ridge,1,art,119,0.37341750125047407,0.5691720847052798,0.5854362475904794,1.1644428571529768
10,emotion,ridge,1,art,128,0.3356207984268978,0.5442852206362457,0.5162972679400148,1.2201629027198038
10,emotion,ridge,1,art,129,0.07390072836499045,0.254456982311312,0.21524597167609047,1.2084593353399
10,emotion,ridge,1,art,137,0.30348532910591364,0.5131289885851856,0.524106424623882,1.1499135979704627
10,emotion,ridge,1,fashion,5,0.14479251514874455,0.17262924055673765,0.19197348273741044,0.528692688798494
10,emotion,ridge,1,fashion,6,0.19658794550863987,0.3623757631545688,0.39227784944047855,0.526395565837513
10,emotion,ridge,1,fashion,16,0.1901970769888385,0.2959352362424711,0.3043936642033622,0.514719114479674
10,emotion,ridge,1,fashion,17,0.06523006283920092,0.028338270716478643,0.14051050067388915,0.5166084377370189
